YEAR,MO,DY,WS,WD,LV ActivePower (kW)
2018,5,2,2.7,212.69,2.462408023050001
2018,5,3,6.45,147.5,692.3343054329998
2018,5,4,7.41,204.0,1151.8578844250014
2018,5,5,4.48,237.69,184.65563582000007
2018,5,6,3.7,231.44,26.271204391319944
2018,5,7,4.77,223.94,193.50248674200017
2018,5,8,9.54,233.38,2314.7727270999994
2018,5,9,5.2,237.62,336.23887894300026
2018,5,10,2.67,236.06,0.410548021267
2018,5,11,3.27,235.69,20.390372257099997
2018,5,12,3.44,231.06,20.6471008676
2018,5,13,3.85,232.62,93.93840304490003
2018,5,14,9.16,207.12,1673.8807941578007
2018,5,15,3.84,249.19,65.96040676059992
2018,5,16,9.38,222.5,2024.3457873699988
2018,5,17,6.36,250.94,612.0554834
2018,5,18,8.72,223.19,1661.6464990500006
2018,5,19,7.32,271.69,1002.0022806889989
2018,5,20,5.34,198.06,369.10699674999967
2018,5,21,6.78,288.88,651.7703680875001
2018,5,22,5.11,201.5,332.7337200970003
2018,5,23,8.36,267.19,1452.8073651420002
2018,5,24,8.47,225.62,1645.059993900001
2018,5,25,8.64,197.5,1653.3544312099978
2018,5,26,8.22,249.88,1404.1543103799995
2018,5,27,8.89,186.0,1905.2245166199996
2018,5,28,7.6,183.31,1310.7515569089999
2018,5,29,8.68,214.25,1734.8687639909997
2018,5,30,7.66,220.06,1239.8291345499997
2018,5,31,5.78,210.88,462.5856655669996
2018,6,1,3.59,221.56,28.156739386980007
2018,6,2,3.06,228.69,6.510304260754
2018,6,3,3.51,232.88,27.115022615890005
2018,6,4,3.91,228.69,69.04185141860007
2018,6,5,3.5,231.75,6.857381281479999
2018,6,6,4.08,233.56,97.7076623561
2018,6,7,3.54,237.75,16.76755462716
2018,6,8,3.42,222.88,19.862838334359996
2018,6,9,3.61,212.44,41.22902900556002
2018,6,10,9.02,217.5,1962.4392878499993
2018,6,11,5.23,226.25,351.89817840900025
2018,6,12,1.53,235.25,0.0
2018,6,13,1.71,232.0,0.5499223993199999
2018,6,14,3.41,230.31,27.650715085855985
2018,6,15,3.55,225.06,25.233452282019986
2018,6,16,2.23,224.81,0.26765275478
2018,6,17,2.44,226.0,0.02727533102
2018,6,18,4.19,219.31,51.52001700297998
2018,6,19,3.24,232.5,5.89628841612
2018,6,20,2.38,228.25,0.7896556249692999
2018,6,21,5.29,218.5,343.96167878399996
2018,6,22,4.77,216.75,205.62800591100006
2018,6,23,4.66,215.25,234.2672556889999
2018,6,24,4.94,221.94,266.49417327799983
2018,6,25,6.6,222.62,760.4615069720004
2018,6,26,7.08,213.31,870.5594262660002
2018,6,27,7.73,145.75,1195.5366197099995
2018,6,28,5.13,133.62,287.23777512400005
2018,6,29,4.61,133.06,103.79751053100013
2018,6,30,7.62,170.25,1308.5655394400007
2018,7,1,6.66,213.56,793.5333691430001
2018,7,2,4.93,228.44,268.9046983080002
2018,7,3,2.71,229.12,0.64645660878
2018,7,4,2.72,228.62,0.8501570129800001
2018,7,5,2.91,226.75,1.0513679265299998
2018,7,6,5.34,228.19,351.517962649
2018,7,7,5.66,229.5,415.1455734140001
2018,7,8,5.82,221.69,513.215016484
2018,7,9,4.27,215.31,150.63534904949998
2018,7,10,4.41,215.69,135.58573836300008
2018,7,11,3.48,224.12,48.404234231070006
2018,7,12,2.81,219.56,3.6515619352069995
2018,7,13,3.11,215.94,9.424895310980004
2018,7,14,6.56,204.38,664.86275634
2018,7,15,5.82,222.94,501.59397277999994
2018,7,16,8.57,181.62,1459.5208313499998
2018,7,17,5.2,207.62,310.0017350226997
2018,7,18,5.0,216.12,292.819574286
2018,7,19,4.63,222.25,180.35010865600015
2018,7,20,3.99,221.94,90.41247818709991
2018,7,21,4.15,218.69,102.93985717356001
2018,7,22,2.11,220.25,1.01991136794
2018,7,23,8.2,217.44,1238.1517112399988
2018,7,24,5.36,209.5,378.89288331499995
2018,7,25,2.97,225.69,14.72327343134001
2018,7,26,2.69,226.56,1.4903741836120004
2018,7,27,2.73,224.25,3.4517834975731985
2018,7,28,3.53,222.81,23.915945347430007
2018,7,29,3.24,218.31,12.5006770898
2018,7,30,4.47,221.62,164.0664533739998
2018,7,31,4.99,227.31,283.81085739299994
2018,8,1,2.5,228.94,0.43640529632
2018,8,2,1.66,227.56,0.0
2018,8,3,2.75,230.06,0.7887938835454001
2018,8,4,2.1,229.88,0.0
2018,8,5,3.09,226.25,9.777081089714
2018,8,6,1.3,227.81,0.0
2018,8,7,4.29,218.69,125.16791302939995
2018,8,8,4.16,169.88,116.36733711130009
2018,8,9,5.45,169.25,396.261695539
2018,8,10,5.64,220.31,472.3621746819997
2018,8,11,3.33,231.5,8.653353124284
2018,8,12,3.98,225.56,67.03519802959998
2018,8,13,5.55,214.19,511.87187439399975
2018,8,14,6.8,221.69,568.8714471500004
2018,8,15,6.87,225.12,799.7573181020002
2018,8,16,7.01,201.75,822.4883904859998
2018,8,17,7.75,186.19,1355.6270053399992
2018,8,18,8.22,199.56,1305.7432392420008
2018,8,19,5.13,220.31,256.0062121750002
2018,8,20,5.09,220.56,290.34608352499976
2018,8,21,4.18,221.5,52.52022142471999
2018,8,22,3.32,231.69,20.526277175524
2018,8,23,1.72,230.31,0.0
2018,8,24,3.59,226.44,19.085863651590003
2018,8,25,3.59,226.69,19.085863651590003
2018,8,26,5.75,227.88,519.8504415900004
2018,8,27,7.16,203.81,944.1733633309989
2018,8,28,6.05,202.81,636.1337942370003
2018,8,29,6.76,224.19,380.093577883
2018,8,30,3.27,232.25,26.733955602100004
2018,8,31,2.31,225.0,0.1576998044165
2018,9,1,5.95,212.06,559.2392288349998
2018,9,2,7.19,216.62,838.0705188509002
2018,9,3,3.84,227.75,86.87297511529997
2018,9,4,3.66,226.25,41.089324340999994
2018,9,5,3.55,228.5,19.1780355849
2018,9,6,6.48,222.81,631.4847726389997
2018,9,7,6.78,211.12,690.4826471030001
2018,9,8,5.56,206.81,383.61099547399994
2018,9,9,5.3,227.38,351.0854287800001
2018,9,10,5.68,227.12,459.0575445390001
2018,9,11,4.02,228.44,100.28362945410002
2018,9,12,2.8,230.0,3.929163122264
2018,9,13,4.34,223.44,171.17976516399986
2018,9,14,3.45,216.0,46.35336421900001
2018,9,15,4.05,215.19,95.69621646710007
2018,9,16,5.34,220.56,347.7101727289999
2018,9,17,4.48,225.56,153.1405439679999
2018,9,18,3.88,230.94,86.40220138949996
2018,9,19,4.25,231.56,134.17666038670006
2018,9,20,3.74,229.31,46.34459257596999
2018,9,21,5.56,238.31,411.64707397899997
2018,9,22,5.4,132.62,368.03228330399986
2018,9,23,5.43,95.94,610.8092039609998
2018,9,24,5.35,220.69,370.1111551010001
2018,9,25,3.67,227.5,44.103092180689984
2018,9,26,8.56,228.12,1634.4658912099997
2018,9,27,5.34,222.12,349.44104736299994
2018,9,28,4.88,220.31,261.93954025700015
2018,9,29,4.91,223.62,251.040884107
2018,9,30,4.91,232.12,250.06107727399996
2018,10,1,3.91,227.81,69.04185141860007
2018,10,2,5.27,222.94,306.6277594069999
2018,10,3,5.41,218.69,385.1618100059997
2018,10,4,5.06,201.31,298.946306607
2018,10,5,4.81,225.62,219.9180009385
2018,10,6,6.77,261.12,594.1420555099998
2018,10,7,5.98,269.0,515.3163751209997
2018,10,8,6.94,242.06,903.0806298929992
2018,10,9,5.34,216.31,357.07080535399996
2018,10,10,3.62,121.06,29.097538120179987
2018,10,11,3.2,37.12,9.362449484429998
2018,10,12,4.21,22.5,136.75968848360006
2018,10,13,2.54,147.56,0.11620133686699999
2018,10,14,6.9,227.06,641.9662255549999
2018,10,15,6.05,256.0,572.7402066209995
2018,10,16,5.35,220.0,369.21088990300007
2018,10,17,5.27,186.38,326.63351166700005
2018,10,18,2.67,159.12,0.5960402964799999
2018,10,19,5.01,171.5,261.35637299099983
2018,10,20,2.99,28.88,0.6985761714200001
2018,10,21,3.72,149.06,22.142097901999996
2018,10,22,1.73,157.75,0.004784665108
2018,10,23,3.83,276.12,61.934302712
2018,10,24,6.98,247.25,880.416075419999
2018,10,25,7.65,192.5,1067.0413897099993
2018,10,26,4.8,251.31,231.88826387299974
2018,10,27,4.53,292.88,151.15383588300017
2018,10,28,4.49,256.0,166.244665671
2018,10,29,3.62,164.0,24.403560573709996
2018,10,30,6.92,151.5,845.4811767910003
2018,10,31,5.56,153.19,408.9129098570003
2018,11,1,3.73,187.38,48.943592970300024
2018,11,2,7.84,242.25,1288.7522423499984
2018,11,3,5.73,146.62,424.2289016850001
2018,11,4,3.09,40.88,0.47151699059999996
2018,11,5,6.36,78.19,726.0348584769996
2018,11,6,4.55,65.94,197.1191534419999
2018,11,7,4.18,177.5,77.33221044210003
2018,11,8,4.68,245.62,225.35422820499997
2018,11,9,4.77,253.5,173.85363885299995
2018,11,10,4.37,95.94,226.00447599499975
2018,11,11,2.49,189.25,1.1050840442000003
2018,11,12,5.73,268.88,393.093968355
2018,11,13,5.46,224.94,400.17831087100006
2018,11,14,3.23,34.06,4.6954102659635994
2018,11,15,2.91,52.06,0.20868259420000002
2018,11,16,4.88,205.0,269.7448762509999
2018,11,17,4.11,253.94,86.37923174483998
2018,11,18,3.42,86.88,24.385511901999998
2018,11,19,6.2,111.38,522.0057251440003
2018,11,20,3.92,27.81,56.80155283189999
2018,11,21,2.85,49.38,0.39932054281999996
2018,11,22,3.79,135.31,43.599105262699965
2018,11,23,6.19,47.19,612.0427054477003
2018,11,24,5.8,116.5,419.4018118340001
2018,11,25,4.69,190.38,229.41220887399987
2018,11,26,3.95,162.0,49.97678842293999
2018,11,27,2.48,112.38,0.01320068002
2018,11,28,5.55,31.44,342.1972717189999
2018,11,29,3.61,36.38,28.308559417599998
2018,11,30,3.68,40.88,20.890405426600015
2018,12,1,4.16,117.81,119.19452996970003
2018,12,2,3.81,202.88,31.198436546400007
2018,12,3,6.45,93.44,929.1466117989999
2018,12,4,4.16,64.06,70.09959442509995
2018,12,5,3.7,78.06,32.148807693839984
2018,12,6,5.3,141.25,370.9806896859999
2018,12,7,4.77,124.88,189.96289986499997
2018,12,8,3.07,124.5,0.9983734274599999
2018,12,9,4.55,259.38,152.7099768318003
2018,12,10,5.09,271.12,264.94801300899996
2018,12,11,5.05,14.44,248.70625519699968
2018,12,12,4.82,33.44,239.41659921089996
2018,12,13,4.69,63.81,198.44684524600012
2018,12,14,5.33,51.12,320.66518341899985
2018,12,15,4.16,43.31,93.12827491969998
2018,12,16,3.08,40.25,17.088874151700015
2018,12,17,2.85,30.62,0.5123636471799999
2018,12,18,3.66,50.75,33.146653825000016
2018,12,19,2.49,189.19,1.1050840442000003
2018,12,20,4.28,92.19,241.63980728399997
2018,12,21,3.22,30.44,5.430872612160001
2018,12,22,3.57,32.25,27.851201908929994
2018,12,23,4.2,23.25,128.82689969720016
2018,12,24,3.81,24.81,59.32629478339997
2018,12,25,4.79,41.81,221.8229091009997
2018,12,26,4.16,225.44,132.50866935812007
2018,12,27,4.94,71.06,224.760255303
2018,12,28,3.69,147.31,52.669032382799976
2018,12,29,3.52,148.44,18.727494830159998
2018,12,30,3.67,127.44,33.25524873780001
2018,12,31,3.05,26.88,2.1905504801099998
2019,1,1,5.55,148.5,409.8124276660003
2019,1,2,6.4,143.88,620.2562823379993
2019,1,3,4.72,115.88,254.75887268199978
2019,1,4,4.13,146.06,68.54134185307001
2019,1,5,3.92,247.06,85.44683949269997
2019,1,6,4.77,18.62,217.76009674999997
2019,1,7,4.19,49.44,73.19667741450006
2019,1,8,4.23,90.94,210.95581252790006
2019,1,9,2.98,52.0,2.3641418613051997
2019,1,10,6.17,158.5,614.0765209959998
2019,1,11,5.7,142.06,442.1556698569998
2019,1,12,3.27,125.25,22.181741970779996
2019,1,13,4.09,16.31,84.9322197813
2019,1,14,2.95,31.75,1.8336183782179996
2019,1,15,6.1,137.06,580.4595452880003
2019,1,16,3.72,220.12,3.934813449400001
2019,1,17,7.18,54.75,993.7237078490001
2019,1,18,5.97,69.0,473.2056958000004
2019,1,19,4.46,107.88,241.70596754099998
2019,1,20,8.41,228.25,1499.9887951500007
2019,1,21,5.52,169.38,336.69590376199994
2019,1,22,2.81,173.81,3.16276098276
2019,1,23,7.75,44.5,1243.0780103199993
2019,1,24,4.05,22.75,82.58654643460005
2019,1,25,5.66,46.19,456.31948882700004
2019,1,26,4.31,77.31,150.5720548935001
2019,1,27,3.16,52.31,13.31163879062699
2019,1,28,3.62,71.38,20.860100431430006
2019,1,29,4.64,159.69,202.93416014600015
2019,1,30,5.39,213.06,372.3325344969998
2019,1,31,3.8,217.69,64.19544717289999
2019,2,1,3.59,37.19,34.168285321610014
2019,2,2,3.2,34.81,2.743011169319999
2019,2,3,3.84,37.12,78.04609890369997
2019,2,4,6.27,155.31,600.3919964650006
2019,2,5,6.4,134.5,617.2488610639991
2019,2,6,6.03,271.44,613.1707714789993
2019,2,7,7.3,304.62,1068.8590420739997
2019,2,8,6.42,164.75,674.8323657330005
2019,2,9,6.59,38.56,763.5848043849998
2019,2,10,3.79,76.38,48.17829770645003
2019,2,11,6.65,50.88,740.734433592
2019,2,12,5.3,30.31,350.68638673600003
2019,2,13,8.39,187.62,1682.3092212099998
2019,2,14,7.03,203.88,984.6188732699997
2019,2,15,7.41,177.69,1173.3117644370006
2019,2,16,6.38,104.19,790.3256615869999
2019,2,17,5.98,166.06,521.5366277990003
2019,2,18,3.59,249.81,12.644128741619998
2019,2,19,3.09,269.56,0.40048324115
2019,2,20,7.78,148.69,1198.967291280001
2019,2,21,3.06,212.44,2.4413776828500002
2019,2,22,3.41,64.12,7.9825148934330015
2019,2,23,5.62,65.56,342.60911714200046
2019,2,24,4.59,233.94,201.6719355930002
2019,2,25,5.18,174.94,336.41732758899985
2019,2,26,7.33,120.0,729.6814654559996
2019,2,27,2.22,119.06,0.0201160489724
2019,2,28,3.45,196.5,28.70501285661
2019,3,1,6.38,259.94,664.2421704000002
