YEAR,MO,DY,WS,WD,LV ActivePower (kW)
2018,5,3,6.62,82.31,1009.610815405001
2018,5,4,7.43,135.31,998.6428051460008
2018,5,5,6.39,111.56,569.5634723069998
2018,5,6,5.78,128.69,463.8828970380002
2018,5,7,7.36,85.19,1118.230577930001
2018,5,8,5.25,208.12,321.92464166110017
2018,5,9,4.03,172.44,78.06021572349998
2018,5,10,3.29,216.12,12.269177418019995
2018,5,11,6.53,253.62,639.2265385280002
2018,5,12,11.82,240.62,2549.3525781900007
2018,5,13,4.35,137.94,183.03150479999994
2018,5,14,8.69,131.0,1758.9534752400014
2018,5,15,7.98,68.0,1370.9439865999998
2018,5,16,5.64,261.12,445.1272909419999
2018,5,17,5.84,200.75,431.7055679309999
2018,5,18,7.21,220.44,984.9440629759997
2018,5,19,6.91,123.5,891.5534503289999
2018,5,20,5.78,137.25,452.9184722980002
2018,5,21,7.23,148.31,1055.3769108329998
2018,5,22,6.92,207.25,891.8241632259998
2018,5,23,2.52,255.44,0.0
2018,5,24,3.41,255.5,11.075038050864002
2018,5,25,3.54,273.12,37.17696641212002
2018,5,26,4.78,190.38,247.9493801919999
2018,5,27,2.75,219.0,1.5492280080577
2018,5,28,2.0,229.12,0.0
2018,5,29,8.5,86.19,1365.8197486179997
2018,5,30,7.0,233.5,976.6263611189995
2018,5,31,4.25,194.0,154.24540877660013
2018,6,1,7.02,138.81,920.2703558340003
2018,6,2,5.0,173.38,260.87248323100016
2018,6,3,3.28,255.94,15.046133464327996
2018,6,4,3.48,191.06,34.45059672088001
2018,6,5,3.5,138.12,35.31538953624
2018,6,6,5.2,205.31,239.9923853486999
2018,6,7,4.31,215.69,145.45167625420007
2018,6,8,3.75,225.5,74.45452336319998
2018,6,9,5.74,153.38,424.7728039530003
2018,6,10,3.81,242.44,57.94680904110005
2018,6,11,7.66,213.69,1277.294175959999
2018,6,12,4.85,279.75,235.20482979780024
2018,6,13,5.32,265.31,329.1916534417999
2018,6,14,5.73,219.19,477.1710207919999
2018,6,15,3.96,170.44,99.7407384284
2018,6,16,5.83,148.88,482.9233096519995
2018,6,17,4.35,174.25,150.0469390388
2018,6,18,2.47,271.06,0.5829755401100002
2018,6,19,2.02,264.31,0.0
2018,6,20,3.67,175.12,33.3111215789
2018,6,21,2.24,190.94,0.0
2018,6,22,8.73,220.81,1754.6747876999998
2018,6,23,7.17,231.12,986.872765421
2018,6,24,3.44,229.25,18.991925048199995
2018,6,25,4.18,239.88,51.925072379359996
2018,6,26,6.77,184.38,718.8329913249996
2018,6,27,6.57,184.44,776.9764513970008
2018,6,28,7.77,137.06,1211.4920482100001
2018,6,29,5.84,124.06,418.363209528
2018,6,30,4.2,147.0,119.9621416234
2018,7,1,6.29,235.38,384.86453368599985
2018,7,2,5.48,169.12,238.1349906889999
2018,7,3,4.35,139.0,182.44246572199995
2018,7,4,5.34,157.94,343.5818459860002
2018,7,5,2.98,172.69,2.785030265356003
2018,7,6,1.45,279.31,0.0
2018,7,7,5.09,226.5,290.4732501240002
2018,7,8,4.03,182.5,63.34984172950001
2018,7,9,5.19,176.69,250.82426790699995
2018,7,10,5.66,152.69,360.300379333
2018,7,11,4.66,153.06,167.37333586600008
2018,7,12,6.48,159.69,733.2936279270004
2018,7,13,7.02,175.5,981.4984491380005
2018,7,14,5.52,198.31,360.451328114
2018,7,15,6.16,205.94,568.1568154930001
2018,7,16,4.62,196.06,166.42806428600008
2018,7,17,5.03,166.75,311.1433756979996
2018,7,18,4.8,195.25,238.73507049800006
2018,7,19,5.77,177.94,495.36216552799965
2018,7,20,3.01,187.94,5.91457394133
2018,7,21,5.05,187.94,280.53977692000007
2018,7,22,5.55,185.56,391.2308865179999
2018,7,23,5.34,172.19,337.5624618509999
2018,7,24,3.88,196.81,66.43829788189994
2018,7,25,6.2,171.31,628.105186785
2018,7,26,4.17,171.5,111.50310871260004
2018,7,27,5.9,184.5,365.126007369
2018,7,28,3.07,178.88,14.278340534088002
2018,7,29,2.31,173.5,0.20064411343999994
2018,7,30,2.95,185.5,7.417057979211003
2018,7,31,2.91,171.0,1.5551250779639993
2018,8,1,3.43,147.38,12.1857146985
2018,8,2,2.64,175.25,7.348654945343994
2018,8,3,2.8,192.62,5.61425832315
2018,8,4,2.83,202.75,4.173937274254001
2018,8,5,3.65,207.81,43.9217580403
2018,8,6,5.46,191.69,430.42005430599966
2018,8,7,5.33,172.19,328.83639832699987
2018,8,8,6.22,129.44,621.3729138109991
2018,8,9,3.32,120.31,26.994982403719995
2018,8,10,2.78,195.19,5.287309413229998
2018,8,11,3.58,190.38,37.74992313491
2018,8,12,4.21,192.56,97.05536323229997
2018,8,13,5.35,164.06,350.71319669600007
2018,8,14,4.84,177.12,229.5006436259999
2018,8,15,5.19,175.69,267.97377291199996
2018,8,16,5.0,120.0,264.8511248830002
2018,8,17,4.0,142.38,32.84640315850001
2018,8,18,6.34,98.62,823.3223596579998
2018,8,19,2.55,185.06,0.28119334442300015
2018,8,20,4.36,187.38,124.9250176304001
2018,8,21,4.23,173.12,75.07884368110001
2018,8,22,5.26,175.94,321.07405701799996
2018,8,23,3.23,183.88,8.540890120129994
2018,8,24,4.77,163.62,193.96502031000003
2018,8,25,4.34,171.25,160.30543052200002
