YEAR,MO,DY,WS,WD,LV ActivePower (kW)
2018,4,30,4.01,253.06,78.57931217099998
2018,5,1,3.18,242.94,13.915923577202001
2018,5,2,2.83,228.12,5.651686696900003
2018,5,3,8.09,167.5,1400.819705146999
2018,5,4,8.96,252.81,1774.5250073199995
2018,5,5,3.91,250.12,70.68992566620003
2018,5,6,3.54,245.12,37.413319608609974
2018,5,7,3.48,241.69,21.21985564683
2018,5,8,7.02,248.25,916.0924768530006
2018,5,9,3.63,248.0,27.3582961083
2018,5,10,2.31,251.44,0.05437398911
2018,5,11,3.41,249.31,14.425205415692004
2018,5,12,2.7,246.88,0.78877786634
2018,5,13,4.66,249.06,208.48097884200016
2018,5,14,7.44,255.44,853.5579055049992
2018,5,15,4.85,256.81,197.8080072517001
2018,5,16,4.62,254.75,205.08417503999993
2018,5,17,4.98,257.19,246.6368644910001
2018,5,18,7.19,255.44,1001.9824132779996
2018,5,19,8.29,276.0,1494.09301138
2018,5,20,6.23,202.31,605.6060803180001
2018,5,21,6.84,217.69,785.7573785439998
2018,5,22,6.24,169.19,645.332913808
2018,5,23,7.59,255.62,715.4963526399999
2018,5,24,8.45,235.38,1652.2431029699999
2018,5,25,9.7,273.12,1706.2076219900002
2018,5,26,10.45,265.88,2628.9332690600004
2018,5,27,9.5,269.25,2203.1848363000004
2018,5,28,8.36,270.44,1450.893621192
2018,5,29,9.68,237.06,2368.9049219499993
2018,5,30,7.59,240.94,1181.4202071050006
2018,5,31,3.59,214.38,45.15867102233002
2018,6,1,3.03,228.5,8.95035701727
2018,6,2,2.86,242.56,1.1874555970999998
2018,6,3,3.04,247.56,7.435969160536501
2018,6,4,3.59,242.69,16.69410968691999
2018,6,5,2.82,246.25,3.0617115771710006
2018,6,6,4.58,246.81,159.5597791969998
2018,6,7,1.7,250.69,0.0
2018,6,8,3.75,233.19,70.78349609349999
2018,6,9,2.12,222.19,0.6112411022
2018,6,10,7.89,231.19,1341.2271679100002
2018,6,11,4.71,238.75,194.5573491567
2018,6,12,2.55,242.62,1.8110125246500002
2018,6,13,2.2,238.44,-0.149365687354
2018,6,14,3.29,238.0,3.57456715561
2018,6,15,2.49,233.75,0.12438006401999999
2018,6,16,2.25,232.56,0.0
2018,6,17,2.78,233.81,5.060094404399997
2018,6,18,2.63,232.19,0.38151784958199997
2018,6,19,3.44,244.25,16.725475865
2018,6,20,1.29,245.0,0.0
2018,6,21,3.09,236.38,8.12431411186
2018,6,22,3.48,227.38,27.08600667503002
2018,6,23,2.88,228.44,1.324787457599
2018,6,24,4.84,234.94,185.99762252600001
2018,6,25,4.15,233.75,98.23399827689998
2018,6,26,5.09,230.12,294.13450988100016
2018,6,27,8.04,171.38,1346.5787036419995
2018,6,28,6.05,170.12,609.331302201
2018,6,29,3.91,153.06,65.72839833579995
2018,6,30,7.59,190.38,1116.1064098699994
2018,7,1,5.15,222.44,325.09480530000013
2018,7,2,3.74,241.38,49.98318770250001
2018,7,3,3.34,238.5,11.300187570538004
2018,7,4,3.68,236.94,57.87097625799997
2018,7,5,4.44,236.38,130.41808953179995
2018,7,6,3.59,238.38,19.305247573619997
2018,7,7,2.32,244.31,0.09057005522999999
2018,7,8,5.13,238.31,256.243788143
2018,7,9,2.9,227.25,6.149862685259995
2018,7,10,3.61,223.19,22.729913958279997
2018,7,11,2.61,233.12,2.216238558459999
2018,7,12,1.4,229.44,0.0
2018,7,13,1.89,227.38,0.0
2018,7,14,6.79,220.38,365.973909907
2018,7,15,3.24,235.0,2.66490224796
2018,7,16,6.76,243.06,753.2361749270002
2018,7,17,6.9,264.31,788.0172845380006
2018,7,18,5.64,248.12,459.6901418989998
2018,7,19,3.95,237.75,80.46058333879995
2018,7,20,3.89,233.88,84.8285677688
2018,7,21,2.45,230.12,0.0
2018,7,22,2.13,231.31,0.0
2018,7,23,5.26,234.06,293.14275576100005
2018,7,24,4.05,223.56,97.14406357109999
2018,7,25,3.32,235.94,11.004539232199999
2018,7,26,3.77,235.62,35.56159708030002
2018,7,27,1.85,233.38,0.0
2018,7,28,2.69,231.44,1.8196249723699998
2018,7,29,2.24,227.0,0.0005606641993
2018,7,30,2.62,232.31,0.48514659406999994
2018,7,31,2.91,237.81,2.0800875139000006
2018,8,1,2.27,237.62,-0.007861351966
2018,8,2,2.84,236.25,1.5214159012400004
2018,8,3,3.54,239.31,17.860635529259998
2018,8,4,3.02,238.62,5.180413689529998
2018,8,5,2.44,235.75,0.0
2018,8,6,2.96,236.75,4.360713710709999
2018,8,7,3.09,230.38,4.365648608793999
2018,8,8,6.33,191.62,638.4172027499998
2018,8,9,5.67,189.75,434.0652078169998
2018,8,10,4.91,232.12,250.06107727399996
2018,8,11,3.08,239.62,22.239828165159985
2018,8,12,3.36,234.94,15.23719359382
2018,8,13,3.4,226.75,16.6004387088
2018,8,14,4.05,234.88,97.26557326570003
2018,8,15,4.54,238.62,161.45028350600006
2018,8,16,5.54,237.19,444.1033822679999
2018,8,17,6.16,247.25,595.7798764040003
2018,8,18,7.55,265.44,682.2817284249999
2018,8,19,4.05,241.44,71.72298461360003
2018,8,20,4.17,235.25,108.68666782881994
2018,8,21,4.67,233.31,165.124121228
2018,8,22,2.26,239.56,0.0
2018,8,23,2.92,238.69,1.21462710381
2018,8,24,1.91,235.88,0.0
2018,8,25,2.8,237.62,1.2341330220600002
2018,8,26,2.27,240.81,0.010063339469999998
2018,8,27,7.54,239.25,1048.3498712099995
2018,8,28,7.3,226.0,787.4890136869996
2018,8,29,6.04,239.5,579.1508624400001
2018,8,30,1.94,245.88,0.0
2018,8,31,2.59,237.75,0.12438006401999999
2018,9,1,5.41,234.0,387.453708198
2018,9,2,6.24,242.25,575.6619686720003
2018,9,3,2.61,242.94,6.296342739023399
2018,9,4,2.91,243.62,0.20570908067
2018,9,5,2.34,243.94,0.26752447723000006
2018,9,6,4.23,238.81,124.97173927739992
2018,9,7,7.03,238.31,932.9863501610002
2018,9,8,5.38,228.88,368.02630815200007
2018,9,9,4.74,242.75,244.29397002800007
2018,9,10,4.91,241.62,257.67816695899995
2018,9,11,4.02,242.94,93.9590920926
2018,9,12,3.19,243.5,16.014927190423993
2018,9,13,3.52,234.25,2.89957362191
2018,9,14,2.8,226.19,6.514029948268001
2018,9,15,3.51,226.25,27.787345933430007
2018,9,16,5.3,240.94,349.49654725999994
2018,9,17,5.2,250.38,316.4662860110001
2018,9,18,4.7,246.5,191.2026731781
2018,9,19,3.33,247.44,6.96352107988
2018,9,20,3.55,243.56,29.471336985479965
2018,9,21,6.06,251.62,568.2745300479999
2018,9,22,6.27,207.06,587.5168252730003
2018,9,23,7.03,203.25,917.3919717559999
2018,9,24,3.55,240.81,20.13749816994
2018,9,25,2.67,240.81,0.19660804118059996
2018,9,26,4.43,243.5,160.74731155999982
2018,9,27,4.59,242.62,169.78213394700003
2018,9,28,3.23,240.88,3.4014413570700004
2018,9,29,5.26,249.0,310.0637115610002
2018,9,30,5.62,253.88,430.0431576670002
2018,10,1,4.63,239.94,181.10202179400014
2018,10,2,5.59,242.69,456.03781341499996
2018,10,3,7.07,242.44,888.9486956589999
2018,10,4,5.74,226.88,455.2669924107003
2018,10,5,5.72,239.25,435.9544561919998
2018,10,6,7.64,254.81,1159.0335548100013
2018,10,7,8.23,266.94,1668.1090196299995
2018,10,8,5.93,249.38,490.9416409359999
2018,10,9,5.3,254.44,339.0026290939999
2018,10,10,5.51,259.88,393.0148957692
2018,10,11,4.05,151.75,100.30136937980002
2018,10,12,1.65,143.5,0.0
2018,10,13,4.63,234.81,195.1400082450001
2018,10,14,4.44,267.25,144.07208848399986
2018,10,15,6.46,256.25,702.2710668999998
2018,10,16,5.58,252.44,445.18612426300024
2018,10,17,6.02,290.69,538.763455796
2018,10,18,4.41,219.06,168.5552247570002
2018,10,19,6.62,176.81,692.3300244089999
2018,10,20,2.45,83.75,0.05536667228
2018,10,21,3.89,194.25,71.66392023040004
2018,10,22,4.94,307.31,248.70207290599996
2018,10,23,3.86,267.44,71.7039821639
2018,10,24,5.59,257.38,432.9308288470004
2018,10,25,7.82,205.19,1281.6617394199995
2018,10,26,5.12,262.44,263.13734314300024
2018,10,27,6.99,285.25,909.8991851769999
2018,10,28,5.97,304.75,502.56389830999956
2018,10,29,7.52,306.62,941.3463049733998
2018,10,30,6.88,209.06,832.3463031019992
2018,10,31,3.55,181.88,16.652256699399995
2018,11,1,7.04,213.5,884.1527078130005
2018,11,2,7.23,216.12,1035.1881675899992
2018,11,3,6.1,125.19,544.1405593899999
2018,11,4,5.0,49.75,237.96554717600023
2018,11,5,4.78,63.56,227.22898468300014
2018,11,6,2.2,52.94,0.0
2018,11,7,7.55,172.19,1214.0377487300016
2018,11,8,6.52,280.38,714.8734544450002
2018,11,9,6.07,241.69,575.1930612120003
2018,11,10,5.58,286.12,354.6682576950001
2018,11,11,7.17,282.31,956.2111108280005
2018,11,12,6.52,269.44,687.6223280390003
2018,11,13,3.93,277.06,57.02179226836
2018,11,14,3.71,81.94,27.4203278626
2018,11,15,2.52,43.0,0.0
2018,11,16,6.13,179.5,626.7754107829999
2018,11,17,6.72,239.56,774.0234576890003
2018,11,18,4.55,198.12,188.20833669299995
2018,11,19,5.31,104.38,405.304189164
2018,11,20,4.17,25.19,107.32348285209986
2018,11,21,4.03,37.88,78.80788173780002
2018,11,22,3.57,139.88,24.061435451099992
2018,11,23,6.46,36.44,493.27972105600014
2018,11,24,7.37,140.56,1006.7398901680016
2018,11,25,4.45,262.69,156.73977646199992
2018,11,26,4.48,211.38,185.37491682999993
2018,11,27,4.53,165.5,187.47030456199994
2018,11,28,6.21,98.0,767.8769317800002
2018,11,29,2.88,34.62,0.172171254149
2018,11,30,3.66,40.38,41.65847473220003
2018,12,1,6.35,156.75,575.6374407829996
2018,12,2,5.54,262.69,434.16319489599954
2018,12,3,4.45,145.25,69.61362575020001
2018,12,4,3.41,49.19,9.59180487617
2018,12,5,5.35,105.56,351.5694769580002
2018,12,6,3.35,244.44,6.1418282045820005
2018,12,7,4.66,94.12,303.28022505280006
2018,12,8,6.12,281.88,514.5723431489997
2018,12,9,6.22,299.38,705.4002996830003
2018,12,10,4.75,314.94,188.982633674
2018,12,11,6.1,86.69,667.5684723079995
2018,12,12,3.77,34.62,57.00306215300001
2018,12,13,3.93,53.06,63.388129663000015
2018,12,14,4.45,45.88,173.07745481900005
2018,12,15,3.49,41.06,32.82867679380003
2018,12,16,2.38,40.38,0.0
2018,12,17,2.88,30.88,1.5586637110000001
2018,12,18,4.05,32.19,95.8084416146
2018,12,19,5.52,224.44,387.7435534840006
2018,12,20,4.79,97.19,312.9051965199998
2018,12,21,3.55,32.0,15.629573503469999
2018,12,22,4.1,33.69,74.06176970350003
2018,12,23,4.01,28.31,70.26320457119995
2018,12,24,2.93,26.31,0.103746571569
2018,12,25,6.44,115.19,693.0744207869997
2018,12,26,3.89,236.38,81.40852970179999
2018,12,27,8.14,40.94,1422.6832972399998
2018,12,28,6.52,186.94,764.7370153680001
2018,12,29,4.4,176.31,117.19175399900004
2018,12,30,3.74,130.81,23.552344141199995
2018,12,31,4.26,44.69,124.37324188350003
2019,1,1,6.35,156.75,575.6374407829996
2019,1,2,5.07,128.06,318.21702638199986
2019,1,3,3.96,44.19,93.34614648919869
2019,1,4,7.88,144.12,1272.6013488100004
2019,1,5,4.02,226.31,70.16832207199997
2019,1,6,4.65,27.75,185.93245331630004
2019,1,7,3.73,43.06,45.091870051899996
2019,1,8,3.91,58.5,65.50566142970001
2019,1,9,2.8,39.81,0.015402687788999997
2019,1,10,7.75,147.88,1049.7522532199998
2019,1,11,4.3,150.5,133.3724156971999
2019,1,12,3.52,33.19,34.66254245665999
2019,1,13,3.4,24.81,23.36847257969002
2019,1,14,2.98,29.75,0.58096389768
2019,1,15,6.14,140.0,604.0955450379995
2019,1,16,7.11,251.62,1054.2204523690002
2019,1,17,3.14,101.62,16.449092102760012
2019,1,18,6.38,112.69,535.8938146999997
2019,1,19,4.93,69.88,247.44640504900016
2019,1,20,7.73,177.19,1392.979953450001
2019,1,21,6.55,170.31,817.1190503219992
2019,1,22,6.34,183.69,594.4563250579995
2019,1,23,6.3,101.62,757.2722381670001
2019,1,24,3.24,21.44,2.7380561735
2019,1,25,5.75,137.94,418.0881222490002
2019,1,26,3.63,103.62,70.43429476589995
2019,1,27,2.09,38.62,0.0
2019,1,28,3.43,54.5,10.745686922864001
2019,1,29,4.38,147.19,125.75050856099999
2019,1,30,7.64,257.12,1225.2558629100004
2019,1,31,4.45,115.75,120.25446243039997
2019,2,1,3.52,38.56,37.56099965926
2019,2,2,2.8,34.62,0.007034673987000001
2019,2,3,3.96,36.19,87.23313385120002
2019,2,4,7.93,74.81,1242.45431621
2019,2,5,7.3,164.38,1061.7966113610005
2019,2,6,7.19,220.94,898.5158019889999
2019,2,7,7.36,299.5,942.0138376399988
2019,2,8,6.4,193.0,696.4003674329996
2019,2,9,6.33,38.0,387.7981768849999
2019,2,10,3.32,89.19,47.30195690119999
2019,2,11,5.41,48.31,374.36107237
2019,2,12,5.26,34.56,297.75376831500023
2019,2,13,7.66,148.94,1112.4808872199987
2019,2,14,6.67,175.12,679.148919684
2019,2,15,5.18,260.44,334.21176940799995
2019,2,16,6.47,145.12,706.12217346
2019,2,17,7.91,246.69,1460.8270019600004
2019,2,18,4.47,257.44,176.43343780499984
2019,2,19,4.45,263.75,156.87439743399992
2019,2,20,8.02,211.88,1391.8980333099994
2019,2,21,2.86,114.19,4.680163405234
2019,2,22,4.25,42.62,119.11954239609997
2019,2,23,5.59,89.25,743.3974020459998
2019,2,24,5.44,308.56,382.43131615399943
2019,2,25,6.77,219.81,714.6799636690008
2019,2,26,4.34,254.12,140.12377257299997
2019,2,27,4.34,124.19,157.20174742199993
2019,2,28,7.21,240.06,1044.1082665159995
2019,3,1,6.07,269.19,554.8517865059999
2019,3,2,9.22,170.44,2021.4557189700008
2019,3,3,5.52,105.0,328.4911853000002
2019,3,4,4.66,156.44,197.07069258600006
2019,3,5,6.72,276.44,652.9756775120001
2019,3,6,6.12,272.69,512.291824352
